variable	Ruminococcaceae	Eubacteriaceae	Bifidobacteriaceae	Lachnospiraceae	Bacteroidaceae	Coriobacteriaceae	Prevotellaceae	Streptococcaceae	Veillonellaceae	Rikenellaceae	Lactobacillaceae	Other
WF_11	7.44159	19.71441	40.40241	8.8503	0.79532	6.30703	0	0.24751	5.42803	0.07036	1.00116	4.45754
WF_1	0	0	0	0	0	0	0	0	0	0	0	0
WF_12	24.50593	18.12782	0	21.55633	2.30125	3.50116	0	2.13885	0	1.77154	0	6.05988
WF_13	9.30068	17.60433	45.49827	6.56192	1.40562	5.03442	0	0.37704	3.33252	0.2904	1.67925	2.70784
WF_14	25.49034	18.62469	0	23.13464	1.60383	3.09844	0	1.92777	0	0.86695	0	8.13489
WF_15	12.99324	20.32232	40.32569	5.87276	1.5635	4.4762	0	0.23593	3.95825	0.21921	2.21847	2.53142
WF_16	23.02675	27.13746	11.47467	15.65917	0	3.96266	0	9.17741	0	0	0.04269	2.51755
WF_17	26.53266	25.49617	11.02703	18.88344	1.25374	4.05928	0	3.96006	0.45668	0.33251	0	1.36284
WF_18	25.45093	24.88585	7.83452	19.89224	3.52285	2.66272	0	1.47477	0.04587	0.00367	0	1.3812
WF_19	27.81768	24.97123	10.525	19.79883	5.54272	3.29074	0	1.99351	0.63128	1.38055	0	0.55853
WF_20	18.27771	18.90761	18.4703	21.96807	1.87517	2.73208	0	0	0	0	0	0.74627
WF_21	0	0	0	0	0	0	0	0	0	0	0	0
WF_2	33.30816	10.27363	0	17.63294	5.88	1.79113	0	0.68489	0	2.51626	0	5.10498
WF_22	20.77728	23.16211	29.60358	15.64047	0.34717	2.11327	0	2.55031	0	0	2.32671	0.72109
WF_23	7.2607	7.78754	56.74235	2.07819	14.71949	1.22591	0	0.41484	0.5778	0.09756	6.19269	0.18827
WF_24	28.33579	20.13849	21.70073	19.0395	0.44342	2.34295	0	0.71056	0	0	1.19363	0.40657
WF_25	14.73747	12.31853	4.10669	10.91128	17.81874	2.38226	0	0	0	7.54152	0	13.32172
WF_26	19.29218	18.13855	19.15053	22.44873	0.62302	2.48115	0	0	0	0	0	0.44121
WF_27	20.79041	13.00406	16.64878	23.84822	0.8835	1.67906	0	0	0	0	0	0.38721
WF_28	15.76986	24.69852	10.17037	16.81179	0.59004	1.1388	20.71697	0.25633	6.32132	0.07639	0	0.70454
WF_29	12.10519	17.13239	42.67466	12.20731	0.97997	3.3502	0	0.05273	0	0.01891	0	0.23084
WF_30	14.86585	27.13537	14.41264	25.61353	0.57963	2.08539	4.85244	0.68432	6.56448	0.51237	0	0.43375
WF_31	10.86541	14.98218	49.53	6.69395	4.10125	1.0402	0	0.04033	0	0.1971	0	0.44544
WF_3	36.7367	21.0127	10.11223	18.31206	0	3.47496	0	4.11784	0.28576	0	0.18642	0.52803
WF_32	14.59655	31.9821	3.98387	23.88542	1.09454	1.48933	10.90772	0.15298	7.47287	0.12851	0	0.6661
WF_33	11.5238	11.05655	56.24991	10.47517	0.81604	1.69754	0	0	0.26194	0	0.04829	0.3028
WF_34	2.79266	6.58664	77.71589	5.69788	0.06702	4.61265	0	0.57774	0.0662	0	0.19915	0.75085
WF_35	24.49052	25.69269	24.28868	17.74004	0.59019	1.95213	0	1.07415	0	0	0.56365	0.07803
WF_36	4.29495	2.49866	82.75686	3.83677	0.44761	3.97938	0	0.19086	0.1004	0	0.74729	0.18505
WF_37	29.30287	18.36217	11.45019	12.96177	14.25318	0.89136	0	1.25281	0	0.08685	1.51713	0.86781
WF_38	0.80235	5.51006	74.90682	3.97861	0	6.05357	0	1.00286	0.57386	0	4.52515	0.11005
WF_39	29.87795	25.84857	16.14257	11.99027	0.47723	1.69285	0	0.75931	0	0	4.84157	1.57532
WF_40	5.36314	8.69258	72.02648	2.15021	1.4073	2.48894	0	0.10312	0.63969	0	3.96784	0.03214
WF_41	16.3333	17.07856	6.71306	22.0729	19.78088	1.38721	0	0.01065	0	5.37629	0	2.599
WF_4	22.45761	11.92341	36.35265	10.15305	0.24623	2.83133	0	0.66367	0	0	0	0.94772
WF_42	31.42882	38.60502	1.53314	11.97949	0.15102	2.34697	0	1.40806	0	0	0	0.02515
WF_43	24.81772	36.94184	10.56101	5.38778	10.85538	0.08262	0	0	0	0.40382	0	1.54234
WF_44	23.64246	48.72329	0.31235	14.41411	0.91294	3.61426	0	0.76141	0	0	0	0.10597
WF_45	0	0	0	0	0	0	0	0	0	0	12.57954	87.42045
WF_46	9.79481	13.41607	0.85976	9.92777	40.56175	0.33654	0	0	0	14.63538	0	4.41924
WF_47	0	0	0	0	0	0	0	0	0	0	0	0
WF_48	11.94646	18.61431	6.62614	24.72098	17.38836	1.30993	0	0	0	9.68225	0	1.14193
