L1	L2	L3	L4	L5	L6	L7	variable	value
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium adolescentis	WF_33	0.378640776699029
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium animalis subsp. lactis	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium biavatii	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium bifidum	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium breve	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium kashiwanohense	WF_33	0.029126213592233
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium dentium	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium longum subsp. longum	WF_33	0.58252427184466
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium moukalabense	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudocatenulatum	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudolongum	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium ruminantium	WF_33	0.00970873786407767
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium adolescentis	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium animalis subsp. lactis	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium biavatii	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium bifidum	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium breve	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium kashiwanohense	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium dentium	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium longum subsp. longum	WF_72	1
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium moukalabense	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudocatenulatum	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudolongum	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium ruminantium	WF_72	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium adolescentis	WF_34	0.775631500742942
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium animalis subsp. lactis	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium biavatii	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium bifidum	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium breve	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium kashiwanohense	WF_34	0.00594353640416048
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium dentium	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium longum subsp. longum	WF_34	0.176820208023774
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium moukalabense	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudocatenulatum	WF_34	0.0386329866270431
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium pseudolongum	WF_34	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium ruminantium	WF_34	0.00297176820208024
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium adolescentis	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium animalis subsp. lactis	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium biavatii	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium bifidum	WF_12	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium Bifidobacterium breve	WF_12	0
