variable	Eubacterium	Blautia	Bifidobacterium	Faecalibacterium	Ruminococcus	Bacteroides	Var.8	Dorea	Coprococcus	Collinsella	Prevotella	Other
WF_33	0.0970982142857143	0.0982142857142857	0.344866071428571	0.0625	0.0301339285714286	0.0212053571428571	0.0546875	0.0357142857142857	0.0357142857142857	0.0212053571428571	0.00111607142857143	0.197544642857143
WF_72	0.260869565217391	0.278706800445931	0.0535117056856187	0.109253065774805	0.0914158305462653	0.00668896321070234	0.0445930880713489	0.0947603121516165	0.0256410256410256	0	0.00111482720178372	0.0334448160535117
WF_34	0.0634743875278396	0.0612472160356347	0.749443207126949	0.0122494432071269	0	0.00111358574610245	0.0066815144766147	0.0133630289532294	0.0144766146993318	0.066815144766147	0	0.0111358574610245
WF_12	0.149720670391061	0.163128491620112	0	0.136312849162011	0.0849162011173184	0.0312849162011173	0.118435754189944	0.0201117318435754	0.088268156424581	0.0480446927374302	0	0.159776536312849
WF_68	0.00779510022271715	0.250556792873051	0.144766146993318	0.146993318485523	0.0868596881959911	0.089086859688196	0.0378619153674833	0.0200445434298441	0.00111358574610245	0	0.0122494432071269	0.202672605790646
WF_46	0.121651785714286	0.0758928571428571	0.0078125	0.0814732142857143	0.0558035714285714	0.344866071428571	0.113839285714286	0.0301339285714286	0.00669642857142857	0.00223214285714286	0	0.159598214285714
WF_204	0.217488789237668	0.0560538116591928	0.191704035874439	0.337443946188341	0.00112107623318386	0.0246636771300448	0.0426008968609865	0.0224215246636771	0.007847533632287	0.0269058295964126	0	0.0717488789237668
WF_73	0.183035714285714	0.206473214285714	0.0546875	0.0982142857142857	0.0502232142857143	0.0100446428571429	0.0803571428571428	0.0189732142857143	0.0680803571428571	0.0178571428571429	0.145089285714286	0.0669642857142857
WF_25	0.0987654320987654	0.0931537598204265	0.0325476992143659	0.0650953984287318	0.0549943883277217	0.258136924803591	0.113355780022447	0.00224466891133558	0.00785634118967452	0.0224466891133558	0	0.251402918069585
WF_65	0.248062015503876	0.146179401993355	0.070874861572536	0.142857142857143	0.117386489479513	0.0376522702104097	0.0841638981173865	0.0409745293466224	0.0155038759689922	0	0	0.0963455149501661
WF_202	0.175750834260289	0.201334816462736	0.197997775305895	0.135706340378198	0.0467185761957731	0.0122358175750834	0.0756395995550612	0.0233592880978865	0.00556173526140156	0.0645161290322581	0	0.0611790878754171
WF_54	0.301231802911534	0.16461366181411	0.0201567749160134	0.144456886898096	0.145576707726764	0.00223964165733483	0.0447928331466965	0.038073908174692	0.0246360582306831	0.038073908174692	0	0.0761478163493841
WF_74	0.16	0.174444444444444	0.0922222222222222	0.136666666666667	0.0155555555555556	0.0366666666666667	0.125555555555556	0.0266666666666667	0.06	0.00888888888888889	0.0777777777777778	0.0855555555555556
WF_80	0.106077348066298	0.219889502762431	0.0110497237569061	0.106077348066298	0.0298342541436464	0.0475138121546961	0.0895027624309392	0.0353591160220994	0.0795580110497238	0.00441988950276243	0.18121546961326	0.0895027624309392
WF_18	0.228861330326945	0.226606538895152	0.0710259301014656	0.108229988726043	0.076662908680947	0.0496054114994363	0.0800450958286359	0.0428410372040586	0.028184892897407	0.0236753100338219	0	0.0642615558060879
WF_57	0.2890625	0.146205357142857	0.112723214285714	0.0803571428571428	0.0558035714285714	0.146205357142857	0.0758928571428571	0.00334821428571429	0.015625	0	0	0.0747767857142857
WF_6	0.169282511210762	0.112107623318386	0.356502242152466	0.176008968609865	0.0650224215246637	0.0224215246636771	0.0403587443946188	0.0145739910313901	0.0100896860986547	0.0224215246636771	0	0.0112107623318386
WF_76	0.121816168327796	0.183831672203765	0.0498338870431894	0.149501661129568	0.0586932447397564	0.0210409745293466	0.053156146179402	0.0332225913621262	0.0287929125138427	0.0498338870431894	0.0232558139534884	0.227021040974529
WF_51	0.289385474860335	0.0860335195530726	0.046927374301676	0.093854748603352	0.0737430167597765	0.224581005586592	0.0424581005586592	0.00446927374301676	0.0122905027932961	0	0	0.126256983240223
WF_81	0.133481646273637	0.387096774193548	0.0723025583982202	0.0233592880978865	0.0166852057842047	0.0100111234705228	0.239154616240267	0.0433815350389321	0.00778642936596218	0	0	0.0667408231368187
WF_55	0.1875	0.0915178571428571	0.0401785714285714	0.0736607142857143	0.0669642857142857	0.344866071428571	0.0524553571428571	0.00558035714285714	0.0133928571428571	0	0	0.123883928571429
WF_85	0.070874861572536	0.120708748615725	0	0.0863787375415282	0.0221483942414175	0.521594684385382	0.0243632336655592	0	0.0365448504983389	0	0	0.117386489479513
WF_2	0.103603603603604	0.150900900900901	0	0.157657657657658	0.154279279279279	0.0788288288288288	0.0472972972972973	0.0281531531531532	0.0743243243243243	0.027027027027027	0	0.177927927927928
