FILE_qc_decon_pe.1.fastq.gz decon_reads
WF_10 3530232
WF_11 1438808
WF_12 3358213
WF_13 959689
WF_14 2964583
WF_15 1743155
WF_16 2442920
WF_17 1241131
WF_18 3159496
WF_19 1310787
WF_1 84
WF_201 747854
WF_202 622978
WF_203 963973
WF_204 759553
WF_20 1143445
WF_21 58
WF_22 719463
WF_23 2249907
WF_24 976605
WF_25 2870127
WF_26 1069856
WF_27 1055038
WF_28 2643839
WF_29 1065312
WF_2 5336698
WF_30 3038067
WF_31 813222
WF_32 2668321
WF_33 1000503
WF_34 2766875
WF_35 896228
WF_36 2442276
WF_37 998279
WF_38 2611707
WF_39 943571
WF_3 1158799
WF_40 2533480
WF_41 3329901
WF_42 1118188
WF_43 2929936
WF_44 816905
WF_45 1171537
WF_46 2805115
WF_47 2492
WF_48 2527533
WF_49 907703
WF_4 2558587
WF_50 3046183
WF_51 3034405
WF_52 1136306
WF_53 3072820
WF_54 855005
WF_55 3133338
WF_56 891066
WF_57 2401043
WF_58 598610
WF_59 775513
WF_5 1215791
WF_60 734334
WF_61 32
WF_62 677887
WF_63 605128
WF_64 542816
WF_65 646441
WF_66 873545
WF_67 553177
WF_68 1225682
WF_69 1022261
WF_6 2632752
WF_70 776897
WF_71 929925
WF_72 937699
WF_73 831734
WF_74 687119
WF_75 1100114
WF_76 773630
WF_77 858835
WF_78 980679
WF_79 763173
WF_7 0
WF_80 654903
WF_81 608982
WF_82 624938
WF_83 722386
WF_84 560140
WF_85 716294
WF_86 839814
WF_87 718920
WF_88 678724
WF_89 0
WF_8 1050753
WF_90 0
WF_91 0
WF_92 0
WF_93 11
WF_94 8
WF_95 0
WF_96 0
WF_97 8
WF_9 852533
