kingdom|phylum|class|order|family|genus|species	WF_33	WF_72	WF_34	WF_12	WF_68	WF_46	WF_204	WF_73	WF_25	WF_65	WF_97	WF_202	WF_54	WF_74	WF_80	WF_18	WF_57	WF_6	WF_76	WF_51	WF_81	WF_55	WF_85	WF_2	WF_28	WF_50	WF_36	WF_87	WF_38	WF_48	WF_94	WF_21	WF_82	WF_11	WF_201	WF_47	WF_42	WF_15	WF_8	WF_27	WF_88	WF_43	WF_3	WF_63	WF_29	WF_70	WF_19	WF_203	WF_40	WF_60	WF_64	WF_1	WF_62	WF_52	WF_93	WF_84	WF_53	WF_22	WF_26	WF_59	WF_86	WF_67	WF_66	WF_61	WF_39	WF_79	WF_44	WF_20	WF_32	WF_5	WF_78	WF_16	WF_30	WF_49	WF_10	WF_56	WF_24	WF_75	WF_69	WF_14	WF_17	WF_77	WF_31	WF_45	WF_58	WF_41	WF_37	WF_4	WF_83	WF_71	WF_35	WF_9	WF_23	WF_13
d_Bacteria|p_Actinobacteria|c_Actinobacteridae|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_adolescentis_1410644.3	219	0	7288	2	9	19	255	38	60	0	0	141	0	40	5	112	2	1619	65	0	0	2	0	0	466	36	4851	22	4180	111	0	0	1	676	4	0	1	737	162	60	0	0	122	0	182	2	114	243	4437	526	0	0	1	2	0	0	15	226	134	65	8	0	0	0	108	13	3	141	167	115	17	219	661	0	0	2	216	47	5	0	152	41	89	0	6	114	111	1453	2	2	219	21	2080	515
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_Eubacterium_rectale_515619.6	124	495	637	693	1	285	465	161	194	313	0	266	504	75	12	1305	1248	868	57	1265	159	898	0	743	838	308	164	249	411	450	0	0	195	488	246	0	671	600	122	43	160	1582	347	460	168	477	347	407	615	491	336	0	1	365	0	0	1125	243	106	279	6	0	0	0	349	47	666	126	956	484	7	1248	1076	240	441	490	189	43	14	623	360	7	109	0	9	295	219	506	0	555	323	152	420	281
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_Blautia_wexlerae_1121115.4	117	277	288	667	592	71	68	308	52	46	0	224	172	186	264	593	604	505	141	366	540	483	84	1268	159	68	362	373	408	80	0	0	389	156	83	0	205	162	151	118	359	800	287	57	113	201	178	215	342	146	48	0	370	243	0	192	706	78	161	253	62	252	755	0	119	282	207	131	167	186	213	563	299	81	383	217	157	259	630	650	184	406	56	0	152	167	75	377	229	142	131	85	170	135
d_Bacteria|p_Actinobacteria|c_Actinobacteridae|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_longum_subsp._longum_1035817.4	347	117	1645	0	361	25	65	43	99	98	0	125	0	72	9	192	487	690	1	219	91	227	0	0	16	57	2701	107	1166	92	0	0	124	398	1000	4	0	432	75	63	62	429	86	135	257	66	100	103	810	119	74	0	120	1	0	0	289	121	79	93	3	113	72	0	78	46	0	81	11	53	11	270	11	5	2	0	64	3	350	0	94	1	189	0	73	151	42	570	0	74	74	25	738	359
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcus|s_Ruminococcus_bromii_657321.5	12	158	0	344	168	100	0	70	232	155	0	0	267	15	1	519	257	500	28	339	0	343	0	1297	0	235	0	13	0	198	0	0	0	0	151	0	266	2	43	10	1	362	476	85	35	238	115	0	0	2	57	0	86	486	0	0	574	95	31	1	2	199	414	0	133	62	110	30	0	302	5	569	0	89	1056	474	115	4	319	398	244	15	8	0	3	133	168	345	0	202	99	1	0	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_|g_|s_butyrate-producing_bacterium_SSC/2_245018.3	75	85	33	510	2	274	37	120	416	99	0	120	54	146	79	338	318	251	13	188	311	254	9	181	92	676	57	118	170	487	0	0	151	33	59	0	89	77	71	14	161	364	108	86	108	57	70	30	390	128	45	0	0	150	0	36	276	123	40	47	32	4	0	0	152	41	79	61	163	95	19	194	84	100	195	68	230	35	6	506	48	39	39	0	69	992	43	408	28	70	94	11	237	35
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Faecalibacterium|s_Faecalibacterium_prausnitzii_411483.3	50	69	20	92	337	27	300	115	132	17	0	17	58	136	108	438	1	798	13	6	2	4	5	86	167	44	71	90	60	41	0	0	2	0	88	0	70	1	35	57	33	11	41	26	57	20	36	207	451	205	17	0	256	80	0	0	8	59	32	284	5	251	271	0	118	131	24	28	137	34	11	172	175	113	60	49	129	16	464	72	32	5	29	0	9	88	134	728	1	45	122	1	522	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Eubacteriaceae|g_Eubacterium|s_[Eubacterium]_hallii_411469.3	26	50	164	102	0	196	28	121	248	30	0	54	56	106	73	349	144	485	40	162	49	132	33	170	210	229	141	67	30	94	0	0	34	67	2	0	96	80	66	35	45	143	80	27	43	30	88	55	30	129	19	0	0	93	0	93	236	74	67	122	51	0	0	0	120	133	94	92	249	54	28	323	230	7	98	78	126	63	5	116	44	98	23	0	40	310	121	360	85	33	92	30	27	60
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_vulgatus_1235786.3	14	5	0	69	0	1086	10	4	606	22	0	5	1	27	43	145	305	107	7	411	4	817	0	184	21	634	20	50	0	341	0	0	57	24	3	0	2	33	37	12	73	277	3	21	4	4	75	6	81	1	30	0	0	3	0	0	301	4	20	49	3	0	2	0	4	75	7	30	15	26	10	3	22	26	21	3	6	6	5	44	20	6	33	0	15	509	109	23	0	14	24	164	706	21
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_Blautia_sp._KLE_1732_1226324.3	30	128	49	129	0	124	31	14	164	66	0	31	127	15	9	634	0	97	6	0	27	0	61	43	64	267	102	41	124	294	0	0	51	9	5	0	149	16	29	26	14	0	15	72	35	110	45	118	73	63	54	0	0	165	0	88	0	103	35	65	59	0	0	0	121	12	113	32	77	30	6	853	138	2	95	175	159	20	2	102	36	6	12	0	66	304	70	166	129	151	157	3	24	7
