Sample,Intervention,Cluster,Acidaminococcus,Acinetobacter,Actinobaculum,Actinomyces,Adlercreutzia,Akkermansia,Alistipes,Alloscardovia,Anaerococcus,Anaerofustis,Anaerostipes,Anaerovibrio,Atopobium,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Butyricimonas,Butyrivibrio,Campylobacter,Capnocytophaga,Catenibacterium,Catonella,Citrobacter,Clostridium,Collinsella,Coprobacillus,Coprococcus,Corynebacterium,Desulfovibrio,Dialister,Dielma,Dorea,Dysgonomonas,Edaphobacter,Eggerthella,Enterobacter,Enterococcus,Enterorhabdus,Enterovibrio,Erysipelatoclostridium,Escherichia,Eubacterium,Faecalibacterium,Filifactor,Finegoldia,Gemella,Gordonibacter,Granulicatella,Haemophilus,Holdemanella,Holdemania,Intestinibacter,Intestinimonas,Klebsiella,Lachnoclostridium,Lactobacillus,Lactococcus,Lechevalieria,Leuconostoc,Listeria,Megamonas,Megasphaera,Odoribacter,Olsenella,Oscillibacter,Oxalobacter,Paenibacillus,Parabacteroides,Parvimonas,Pediococcus,Peptoclostridium,Peptoniphilus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Raoultella,Robinsoniella,Roseburia,Rothia,Ruminiclostridium,Ruminococcus,Salmonella,Senegalimassilia,Serratia,Slackia,Solobacterium,Staphylococcus,Streptococcus,Subdoligranulum,Sutterella,Synergistes,Terrisporobacter,Thermoanaerobacterium,Turicibacter,Tyzzerella,Varibaculum,Veillonella,Weissella
WF_10,post,Low_changers,0,0,0,1,1,0,7,0,0,0,0,0,0,0,36,2,0,0,99,0,0,0,0,0,0,0,10,65,0,103,0,0,0,0,32,0,0,1,0,0,0,0,0,0,94,34,0,0,0,2,0,0,66,0,2,0,0,2,0,15,0,4,0,0,0,0,0,2,7,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,22,0,0,187,0,8,0,0,0,0,17,4,0,0,0,0,2,0,0,0,0
WF_11,post,High_changers,0,0,0,0,3,17,0,0,0,0,0,0,0,0,10,0,292,0,84,0,0,0,0,0,0,0,4,49,0,0,0,0,41,0,20,0,0,3,0,0,0,0,0,0,151,18,0,0,0,0,0,0,0,0,8,2,0,1,11,0,0,0,0,0,17,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,130,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
WF_12,post,Low_changers,0,0,0,0,1,0,11,0,0,0,0,0,0,0,28,3,0,0,146,0,0,0,0,0,0,0,1,43,0,79,0,0,0,0,18,0,0,0,0,0,0,0,0,0,134,122,0,0,0,0,0,0,40,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,6,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,39,0,0,76,0,5,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0
WF_13,post,High_changers,0,0,0,0,2,7,0,0,1,0,0,0,0,0,16,0,329,0,87,0,0,0,0,0,0,0,3,40,0,0,1,0,29,1,18,0,0,3,0,0,0,0,0,0,128,34,0,0,0,0,0,0,0,2,6,2,0,0,20,0,0,0,0,0,20,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,98,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0
WF_14,post,Low_changers,0,0,0,0,0,1,4,0,0,0,0,0,1,0,20,3,0,0,151,0,0,0,0,0,0,0,2,37,0,80,0,0,0,0,23,0,0,0,0,0,0,0,0,0,138,79,0,0,0,1,0,0,62,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,38,0,0,98,0,4,0,0,0,0,22,1,1,0,0,0,0,0,0,1,0
WF_15,post,High_changers,0,2,0,1,6,4,0,0,0,0,0,0,0,0,18,0,297,0,66,0,0,0,0,0,0,0,4,42,0,0,0,0,31,0,15,0,0,2,0,0,0,0,1,0,163,82,0,0,0,0,0,0,0,0,6,1,0,0,20,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,65,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
WF_16,pre,Medium_changers,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,89,0,211,0,0,0,0,0,0,0,3,39,0,18,0,0,0,0,45,0,0,2,0,0,0,0,0,0,212,40,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,81,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0
WF_17,pre,High_changers,0,1,0,0,3,3,6,0,0,0,0,0,1,0,27,0,96,0,137,0,0,0,0,0,0,0,6,40,0,17,0,0,4,0,54,0,0,1,0,0,0,0,0,0,167,75,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,22,0,2,156,0,0,0,0,0,0,34,3,1,0,0,0,0,0,0,2,0
WF_18,pre,Medium_changers,0,0,0,0,6,1,0,0,0,0,0,0,0,0,44,0,63,0,201,0,0,0,0,0,0,0,0,21,0,25,0,0,0,0,38,0,0,5,0,0,0,0,0,0,203,96,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,68,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,1,0
WF_19,pre,High_changers,0,1,0,0,0,3,13,0,0,0,0,0,0,0,56,0,80,1,128,0,0,0,0,0,0,0,0,21,0,9,0,0,5,0,57,0,0,0,0,0,0,0,0,0,191,117,0,0,0,1,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,14,0,0,123,0,0,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0
WF_2,pre,Low_changers,0,0,0,0,2,1,22,0,0,0,0,0,0,0,70,5,0,0,134,1,0,0,0,0,0,0,0,24,0,66,0,1,0,0,25,0,0,1,0,0,0,0,0,1,92,140,0,0,0,0,0,0,36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,3,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,39,0,1,137,0,5,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
WF_20,pre,High_changers,0,19,0,0,6,0,0,0,0,0,0,0,0,0,30,0,153,0,142,0,55,0,0,0,0,0,6,27,0,54,0,3,0,0,31,0,0,0,0,0,0,0,3,0,164,47,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,14,0,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WF_201,pre,High_changers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,519,0,48,0,0,0,0,0,0,0,0,64,0,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,97,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,65,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
