Metagenome	Sample	intervention	individual
WF_10_Abundance-RPKs	WF_10	post	1
WF_11_Abundance-RPKs	WF_11	post	26
WF_12_Abundance-RPKs	WF_12	post	1
WF_13_Abundance-RPKs	WF_13	post	26
WF_14_Abundance-RPKs	WF_14	post	1
WF_15_Abundance-RPKs	WF_15	post	27
WF_16_Abundance-RPKs	WF_16	pre	2
WF_17_Abundance-RPKs	WF_17	pre	27
WF_18_Abundance-RPKs	WF_18	pre	2
WF_19_Abundance-RPKs	WF_19	pre	9
WF_201_Abundance-RPKs	WF_201	pre	11
WF_202_Abundance-RPKs	WF_202	post	12
WF_203_Abundance-RPKs	WF_203	pre	12
WF_204_Abundance-RPKs	WF_204	pre	7
WF_20_Abundance-RPKs	WF_20	pre	8
WF_22_Abundance-RPKs	WF_22	post	30
WF_23_Abundance-RPKs	WF_23	post	8
WF_24_Abundance-RPKs	WF_24	post	5
WF_25_Abundance-RPKs	WF_25	pre	7
WF_26_Abundance-RPKs	WF_26	pre	7
WF_27_Abundance-RPKs	WF_27	pre	28
WF_28_Abundance-RPKs	WF_28	post	7
WF_29_Abundance-RPKs	WF_29	post	26
WF_2_Abundance-RPKs	WF_2	pre	28
WF_30_Abundance-RPKs	WF_30	post	7
WF_31_Abundance-RPKs	WF_31	post	28
WF_32_Abundance-RPKs	WF_32	post	7
WF_33_Abundance-RPKs	WF_33	post	30
WF_34_Abundance-RPKs	WF_34	pre	8
WF_35_Abundance-RPKs	WF_35	pre	30
WF_36_Abundance-RPKs	WF_36	pre	8
WF_37_Abundance-RPKs	WF_37	pre	30
WF_38_Abundance-RPKs	WF_38	post	8
WF_39_Abundance-RPKs	WF_39	pre	2
WF_3_Abundance-RPKs	WF_3	post	30
WF_40_Abundance-RPKs	WF_40	post	5
WF_41_Abundance-RPKs	WF_41	pre	10
WF_42_Abundance-RPKs	WF_42	post	3
WF_43_Abundance-RPKs	WF_43	post	10
WF_44_Abundance-RPKs	WF_44	post	5
WF_46_Abundance-RPKs	WF_46	post	5
WF_48_Abundance-RPKs	WF_48	post	9
WF_49_Abundance-RPKs	WF_49	pre	27
WF_4_Abundance-RPKs	WF_4	post	5
WF_50_Abundance-RPKs	WF_50	post	3
WF_51_Abundance-RPKs	WF_51	pre	10
WF_52_Abundance-RPKs	WF_52	pre	3
WF_53_Abundance-RPKs	WF_53	pre	10
WF_54_Abundance-RPKs	WF_54	pre	3
WF_55_Abundance-RPKs	WF_55	post	10
WF_56_Abundance-RPKs	WF_56	pre	3
WF_57_Abundance-RPKs	WF_57	post	11
WF_58_Abundance-RPKs	WF_58	pre	12
WF_59_Abundance-RPKs	WF_59	post	2
WF_5_Abundance-RPKs	WF_5	post	12
WF_60_Abundance-RPKs	WF_60	post	13
WF_62_Abundance-RPKs	WF_62	pre	4
WF_63_Abundance-RPKs	WF_63	post	4
WF_64_Abundance-RPKs	WF_64	post	4
WF_65_Abundance-RPKs	WF_65	post	13
WF_66_Abundance-RPKs	WF_66	pre	13
WF_67_Abundance-RPKs	WF_67	pre	13
WF_68_Abundance-RPKs	WF_68	post	13
WF_69_Abundance-RPKs	WF_69	post	27
WF_6_Abundance-RPKs	WF_6	post	4
WF_70_Abundance-RPKs	WF_70	pre	4
WF_71_Abundance-RPKs	WF_71	pre	4
WF_72_Abundance-RPKs	WF_72	pre	17
WF_73_Abundance-RPKs	WF_73	post	17
WF_74_Abundance-RPKs	WF_74	post	16
WF_75_Abundance-RPKs	WF_75	pre	16
WF_76_Abundance-RPKs	WF_76	pre	16
WF_77_Abundance-RPKs	WF_77	post	16
WF_78_Abundance-RPKs	WF_78	post	17
WF_79_Abundance-RPKs	WF_79	pre	17
WF_80_Abundance-RPKs	WF_80	pre	19
WF_81_Abundance-RPKs	WF_81	post	19
WF_82_Abundance-RPKs	WF_82	post	18
WF_83_Abundance-RPKs	WF_83	pre	18
WF_84_Abundance-RPKs	WF_84	pre	18
WF_85_Abundance-RPKs	WF_85	post	18
WF_86_Abundance-RPKs	WF_86	post	19
WF_87_Abundance-RPKs	WF_87	pre	19
WF_88_Abundance-RPKs	WF_88	pre	1
WF_8_Abundance-RPKs	WF_8	pre	1
WF_9_Abundance-RPKs	WF_9	pre	1
