sample	intervention	individual
WF_10_Abundance	post	1
WF_11_Abundance	post	26
WF_12_Abundance	post	1
WF_13_Abundance	post	26
WF_14_Abundance	post	1
WF_15_Abundance	post	27
WF_16_Abundance	pre	2
WF_17_Abundance	pre	27
WF_18_Abundance	pre	2
WF_19_Abundance	pre	9
WF_201_Abundance	pre	11
WF_202_Abundance	post	12
WF_203_Abundance	pre	12
WF_204_Abundance	pre	7
WF_20_Abundance	pre	8
WF_22_Abundance	post	30
WF_23_Abundance	post	8
WF_24_Abundance	post	5
WF_25_Abundance	pre	7
WF_26_Abundance	pre	7
WF_27_Abundance	pre	28
WF_28_Abundance	post	7
WF_29_Abundance	post	26
WF_2_Abundance	pre	28
WF_30_Abundance	post	7
WF_31_Abundance	post	28
WF_32_Abundance	post	7
WF_33_Abundance	post	30
WF_34_Abundance	pre	8
WF_35_Abundance	pre	30
WF_36_Abundance	pre	8
WF_37_Abundance	pre	30
WF_38_Abundance	post	8
WF_39_Abundance	pre	2
WF_3_Abundance	post	30
WF_40_Abundance	post	5
WF_41_Abundance	pre	10
WF_42_Abundance	post	3
WF_43_Abundance	post	10
WF_44_Abundance	post	5
WF_46_Abundance	post	5
WF_48_Abundance	post	9
WF_49_Abundance	pre	27
WF_4_Abundance	post	5
WF_50_Abundance	post	3
WF_51_Abundance	pre	10
WF_52_Abundance	pre	3
WF_53_Abundance	pre	10
WF_54_Abundance	pre	3
WF_55_Abundance	post	10
WF_56_Abundance	pre	3
WF_57_Abundance	post	11
WF_58_Abundance	pre	12
WF_59_Abundance	post	2
WF_5_Abundance	post	12
WF_60_Abundance	post	13
WF_62_Abundance	pre	4
WF_63_Abundance	post	4
WF_64_Abundance	post	4
WF_65_Abundance	post	13
WF_66_Abundance	pre	13
WF_67_Abundance	pre	13
WF_68_Abundance	post	13
WF_69_Abundance	post	27
WF_6_Abundance	post	4
WF_70_Abundance	pre	4
WF_71_Abundance	pre	4
WF_72_Abundance	pre	17
WF_73_Abundance	post	17
WF_74_Abundance	post	16
WF_75_Abundance	pre	16
WF_76_Abundance	pre	16
WF_77_Abundance	post	16
WF_78_Abundance	post	17
WF_79_Abundance	pre	17
WF_80_Abundance	pre	19
WF_81_Abundance	post	19
WF_82_Abundance	post	18
WF_83_Abundance	pre	18
WF_84_Abundance	pre	18
WF_85_Abundance	post	18
WF_86_Abundance	post	19
WF_87_Abundance	pre	19
WF_88_Abundance	pre	1
WF_8_Abundance	pre	1
WF_9_Abundance	pre	1
