kingdom	phylum	class	order	family	genus	species	sample_id	WF_50	WF_51	WF_52	WF_53	WF_54	WF_55	WF_56	WF_57	WF_58	WF_59	WF_25	WF_24	WF_27	WF_26	WF_21	WF_20	WF_23	WF_22	WF_29	WF_28	WF_36	WF_37	WF_34	WF_35	WF_32	WF_33	WF_30	WF_31	WF_38	WF_39	WF_89	WF_88	WF_83	WF_82	WF_81	WF_80	WF_87	WF_86	WF_85	WF_84	WF_94	WF_95	WF_96	WF_97	WF_90	WF_91	WF_92	WF_93	WF_204	WF_202	WF_203	WF_201	WF_18	WF_19	WF_14	WF_15	WF_16	WF_17	WF_10	WF_11	WF_12	WF_13	WF_69	WF_68	WF_61	WF_60	WF_63	WF_62	WF_65	WF_64	WF_67	WF_66	WF_6	WF_7	WF_4	WF_5	WF_2	WF_3	WF_1	WF_8	WF_9	WF_78	WF_79	WF_72	WF_73	WF_70	WF_71	WF_76	WF_77	WF_74	WF_75	WF_47	WF_46	WF_45	WF_44	WF_43	WF_42	WF_41	WF_40	WF_49	WF_48
d__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	Methanobrevibacter smithii	OTU-12236	0	2094	0	4877	0	895	0	1329	0	0	0	5228	0	0	0	0	0	5104	0	8025	0	4046	0	5554	11634	0	15396	0	0	2683	0	339	0	0	0	3337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11241	0	0	71	21056	0	14820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24534	0	0	0	0	0	1253	0	4439	0	0	0	0	2084	0	0	0	0	0	1583	0	0	0	0	0
d__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	Methanobrevibacter smithii	OTU-13420	1949	6178	5970	8036	5388	4881	4440	4451	0	146	0	2438	947	1303	0	1092	1056	1825	1084	562	224	1268	928	1532	552	777	1278	489	935	1790	0	613	741	369	378	327	541	2143	1854	1029	0	0	0	0	0	0	0	0	167	0	803	0	4710	3524	1231	1430	1218	4097	3487	1676	1761	907	0	0	0	127	410	0	427	436	0	0	2686	0	2625	2163	5012	3604	0	1025	494	304	263	856	225	697	688	835	500	0	931	0	1804	0	2489	5312	3078	3287	657	0	2231
d__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_C	Methanobrevibacter arboriphilus	OTU-12934	0	3480	0	1254	0	136	0	202	0	0	0	0	0	0	0	0	14296	0	0	0	11306	0	2407	0	0	0	0	0	60725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	17713	0	0
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	Actinomyces graevenitzii	OTU-12316	1336	1516	44	1051	0	2506	0	4261	0	0	882	45	4395	2243	0	2411	0	69	1025	415	0	154	0	172	398	796	1627	286	0	101	0	0	318	0	0	0	0	152	186	429	0	0	0	0	0	0	0	0	0	0	0	55	0	0	14159	1008	0	0	8539	3566	14110	969	0	0	0	0	0	0	43	46	0	0	0	0	0	0	28320	0	0	2265	588	0	0	0	0	0	0	64	693	0	0	0	971	0	57	1286	61	2968	0	0	959
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	Actinomyces oris	OTU-12115	1880	823	395	2627	355	1298	291	1967	1306	367	1020	911	943	1319	0	1111	1090	596	988	1029	879	198	908	714	1098	1372	2112	341	1699	1332	0	754	864	794	878	35	687	216	293	791	0	0	0	0	0	0	0	0	675	1519	850	527	2700	573	1844	2457	2296	629	2579	2204	2270	1361	64	19	0	435	444	0	459	269	0	26	2983	0	3892	427	2474	536	0	1131	336	134	97	1048	109	905	919	206	235	57	447	0	1578	0	416	2946	923	3227	1994	172	1992
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces_B	Actinomyces sp.	OTU-12374	4770	2934	0	3331	0	3483	0	3251	0	469	2683	127	880	1542	0	2469	634	76	2250	1363	31	0	0	379	1120	558	2516	660	400	97	0	912	0	750	379	1490	853	39	0	0	0	0	0	0	0	0	0	0	302	0	84	450	4150	1371	316	137	1938	670	300	279	323	144	0	0	0	561	788	0	1105	849	0	0	2955	0	3377	924	732	520	0	2168	88	352	853	860	1324	924	1418	279	346	1244	432	0	2003	0	0	4600	0	2928	308	239	4356
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces_B	Actinomyces sp.	OTU-12127	3034	0	0	0	0	0	0	0	2367	633	0	782	515	312	0	535	2306	448	462	1760	2028	166	1157	661	2544	215	2629	176	3768	596	0	123	0	0	0	940	0	55	0	0	0	0	0	0	0	0	0	0	1179	1164	1731	0	3574	1402	512	501	2718	1313	212	686	526	164	78	0	0	667	424	0	548	376	0	0	2536	0	4974	973	1379	639	0	483	416	902	67	791	565	971	928	1039	2289	638	1460	0	3589	0	0	0	0	5711	2146	0	4945
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces_B	Actinomyces sp.	OTU-11532	3332	1841	1281	2957	676	2325	709	1812	76	730	97	758	72	84	0	103	2281	544	0	0	450	135	0	933	58	47	148	0	2952	1113	0	541	1225	2662	2979	447	1710	209	433	563	0	0	0	0	0	0	0	0	82	0	62	250	5188	632	880	300	666	572	514	390	634	246	0	0	0	494	545	0	761	641	0	0	2183	0	1600	171	1258	421	0	78	192	0	106	451	428	414	575	174	50	589	73	0	2029	0	1026	2650	1993	4118	1933	99	3592
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces_B	Actinomyces sp.	OTU-13412	3442	442	2388	163	165	434	1072	133	587	0	0	2570	119	102	0	19	0	2378	41	443	0	1382	0	354	527	293	1775	29	0	1422	0	353	1433	470	118	371	436	187	299	460	0	0	0	0	0	0	0	0	0	843	0	452	0	2841	382	4014	0	2748	364	6025	397	3141	22	0	0	0	247	0	46	169	0	0	0	0	0	1548	109	1686	0	33	2736	0	206	306	30	1729	2155	0	51	0	0	0	2182	0	1245	185	5374	3020	0	911	2139
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces_B	Actinomyces turicensis	OTU-11611	0	0	0	0	0	0	0	0	0	0	0	0	326	232	0	128	0	0	311	118	0	0	0	0	188	0	467	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	14837	0	0	1538	8455	0	20249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1720	15417	940	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
