# Pathway	WF_34_qc_merged	WF_31_qc_merged	WF_22_qc_merged	WF_15_qc_merged	WF_17_qc_merged	WF_40_qc_merged	WF_33_qc_merged	WF_23_qc_merged	WF_10_qc_merged	WF_1_qc_merged	WF_25_qc_merged	WF_203_qc_merged	WF_3_qc_merged	WF_32_qc_merged	WF_13_qc_merged	WF_39_qc_merged	WF_2_qc_merged	WF_30_qc_merged	WF_36_qc_merged	WF_29_qc_merged	WF_20_qc_merged	WF_27_qc_merged	WF_37_qc_merged	WF_28_qc_merged	WF_35_qc_merged	WF_19_qc_merged	WF_18_qc_merged	WF_201_qc_merged	WF_38_qc_merged	WF_202_qc_merged	WF_11_qc_merged	WF_26_qc_merged	WF_204_qc_merged	WF_14_qc_merged	WF_24_qc_merged	WF_21_qc_merged	WF_16_qc_merged	WF_12_qc_merged
12DICHLORETHDEG-PWY	3.38662	64.493	11.183	32.4152	12.8069	31.5679	45.1592	205.355	36.8051	0	195.994	22.4122	4.9906	64.8384	30.9578	15.2473	63.1216	44.0605	15.1091	35.7974	44.9504	34.02	103.091	128.511	13.3254	68.3804	38.1208	8.75311	6.50071	13.7715	37.294	26.313	34.6578	24.0604	8.66643	0	15.8901	30.0407
1CMET2-PWY	822.756	893.068	749.548	778.378	728.911	769.008	791.92	822.677	842.983	0	908.273	688.713	689.287	687.373	788.83	763.818	771.125	650.424	823.364	784.774	768.121	759.623	765.809	762.591	636.585	691.772	664.088	1091.79	768.293	667.72	705.594	857.344	586.036	701.207	800.871	0	727.242	713.268
2ASDEG-PWY	0	0	0	0	0	0	0.511725	0.549912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OXOBUTYRATECAT-PWY	20.3206	235.692	56.6078	36.0007	25.3279	3.30551	102.088	11.7049	125.641	0	141.72	21.5058	29.1602	130.413	46.517	76.4645	86.8466	118.893	12.9746	211.326	199.892	185.47	50.9644	70.9843	72.4591	97.1061	19.9244	17.9764	8.7885	82.967	68.0579	212.817	18.5151	158.565	83.4873	0	31.1715	57.1737
2PHENDEG-PWY	0.113947	0	0	0	0.890609	1.21967	0	0.0801537	0.0799339	0	0	0	0.200941	0.893755	0.123276	0	0.781316	0.040527	0	0	0	0.725402	0.526589	0.0909991	0	0.315746	0	0	0.0699786	0	0	0.458057	0	3.35771	0	0	0.207426	0.0877991
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	6.79505	59.5933	30.5469	12.9076	28.1246	23.1257	22.2938	29.8415	28.0645	0	26.1541	19.5634	19.8616	74.289	20.0783	53.0319	34.6457	41.095	13.247	22.1294	37.3792	26.8124	45.7278	120.057	22.944	25.887	14.7838	15.5468	27.6568	14.01	15.9057	34.1315	14.7867	31.1204	26.5609	0	26.8641	30.9977
4-HYDROXYMANDELATE-DEGRADATION-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4AMINOBUTMETAB-PWY	0	0	8.68414	5.0168	2.08702	1.27298	0	0	7.14017	0	9.29283	0	0	0	0	3.67737	5.55443	0	1.06826	6.6028	11.597	11.5013	3.10213	0	0	1.70652	0	6.42712	0	0	8.86071	10.9289	0	10.3882	0	0	0	3.65924
4TOLCARBDEG-PWY	624.159	477.918	614.85	473.669	494.432	538.303	483.529	469.519	515.169	0	465.903	593.352	546.46	492.959	499.294	607.407	452.742	496.166	587.633	452.548	523.321	508.24	540.028	391.636	546.136	488.964	524.05	616.653	582.404	508.447	508.83	471.63	583.371	516.093	703.108	0	476.442	477.089
7ALPHADEHYDROX-PWY	939.013	790.928	1106.78	746.872	808.423	863.515	774.099	838.579	926.177	0	845.795	913.386	871.339	929.277	786.711	1004.99	813.135	855.626	887.414	727.684	840.439	805.211	904.23	827.442	1007.34	782.037	888.387	958.875	917.712	830.34	816.314	742.179	894.407	958.775	1243.67	0	749.202	896.731
