sample_id	species_id	species_abund	gene_id	enzyme_id	count_reads	read_depth	copy_number
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.1913	2.8.3.8	37	1.6976744186	0.258224074514
WF_50	Anaerostipes_hadrus_55206	0.126835471123	411484.7.peg.201	2.8.3.9	56	5.48256624826	0.833923501409
WF_50	Alistipes_putredinis_61533	0.0594781416716	445970.5.peg.1180	2.7.2.7	50	3.32771535581	1.05219988329
WF_50	Alistipes_putredinis_61533	0.0594781416716	445970.5.peg.1998	2.8.3.9	22	2.37424242424	0.750718536466
WF_50	Alistipes_putredinis_61533	0.0594781416716	445970.5.peg.2009	2.8.3.9	21	2.23853211009	0.707807902159
WF_50	Bacteroides_vulgatus_57955	0.120293133333	1235786.3.peg.2602	2.7.2.7	5	0.26103286385	0.0298466422334
WF_50	Bacteroides_vulgatus_57955	0.120293133333	997875.3.peg.2771	2.7.2.7	159	10.3267605634	1.1807675226
WF_51	Bacteroides_uniformis_57318	0.0717691821772	997889.3.peg.1749	2.7.2.7	59	3.79501385042	1.09311740891
WF_51	Bacteroides_vulgatus_57955	0.0783486041671	1235786.3.peg.2602	2.7.2.7	56	3.55117370892	0.821601296222
WF_51	Bacteroides_vulgatus_57955	0.0783486041671	997875.3.peg.2771	2.7.2.7	14	0.766197183099	0.177267757197
WF_55	Bacteroides_uniformis_57318	0.0626363458952	997889.3.peg.1749	2.7.2.7	58	3.71929824561	0.934725162421
WF_55	Bacteroides_vulgatus_57955	0.139047886117	1235786.3.peg.2602	2.7.2.7	81	4.93896713615	0.552466925103
WF_55	Bacteroides_vulgatus_57955	0.139047886117	997875.3.peg.2771	2.7.2.7	41	2.58028169014	0.288627207259
WF_57	Anaerostipes_hadrus_55206	0.0665993698774	245018.3.peg.1913	2.8.3.8	118	5.09173126615	1.824028049
WF_57	Anaerostipes_hadrus_55206	0.0665993698774	411484.7.peg.201	2.8.3.9	33	3.16039051604	1.13215734408
WF_57	Bacteroides_vulgatus_57955	0.0615815369919	1235786.3.peg.2602	2.7.2.7	43	2.4544600939	0.768150313896
WF_57	Bacteroides_vulgatus_57955	0.0615815369919	997875.3.peg.2771	2.7.2.7	24	1.4338028169	0.44872438
WF_25	Anaerostipes_hadrus_55206	0.0863941948366	245018.3.peg.1913	2.8.3.8	0	0.0	0.0
WF_25	Anaerostipes_hadrus_55206	0.0863941948366	411484.7.peg.201	2.8.3.9	35	3.47419804742	0.859539662147
WF_25	Bacteroides_vulgatus_57955	0.12428709836	1235786.3.peg.2602	2.7.2.7	68	4.28544600939	0.644496370779
WF_25	Bacteroides_vulgatus_57955	0.12428709836	997875.3.peg.2771	2.7.2.7	49	2.81126760563	0.42279187864
WF_23	Bacteroides_vulgatus_57955	0.104070705693	1235786.3.peg.2602	2.7.2.7	98	6.40375586854	0.870910798122
WF_23	Bacteroides_vulgatus_57955	0.104070705693	997875.3.peg.2771	2.7.2.7	5	0.27323943662	0.0371605633803
WF_36	Ruminococcus_torques_62045	0.0310392189898	657313.3.peg.2217	2.8.3.8	4	0.154626108999	0.0509231782637
WF_36	Ruminococcus_torques_62045	0.0310392189898	657313.3.peg.2470	2.8.3.8	63	2.99206349206	0.985379400474
WF_36	Ruminococcus_torques_62045	0.0310392189898	657313.3.peg.590	2.8.3.8	6	0.282002534854	0.0928721898662
WF_30	Coprococcus_sp_62244	0.0520217554713	751585.3.peg.562	2.8.3.8	105	4.38768827767	1.14613205397
WF_30	Coprococcus_sp_62244	0.0520217554713	751585.3.peg.694	2.7.2.7	67	3.91853932584	1.0235830902
WF_30	Ruminococcus_obeum_61472	0.0490190392334	411459.7.peg.1593	2.8.3.8	10	3.28	0.994187775296
WF_81	Anaerostipes_hadrus_55206	0.198671039076	245018.3.peg.1913	2.8.3.8	69	3.22803617571	1.2631445905
WF_81	Anaerostipes_hadrus_55206	0.198671039076	411484.7.peg.201	2.8.3.9	6	0.626220362622	0.245042750591
WF_86	Bacteroides_uniformis_57318	0.338585329076	997889.3.peg.1749	2.7.2.7	129	8.22068328717	1.15478589638
