pathway	WF_10_Abundance	WF_11_Abundance	WF_12_Abundance	WF_13_Abundance	WF_14_Abundance	WF_15_Abundance	WF_16_Abundance	WF_17_Abundance	WF_18_Abundance	WF_19_Abundance	WF_201_Abundance	WF_202_Abundance	WF_203_Abundance	WF_204_Abundance	WF_20_Abundance	WF_22_Abundance	WF_23_Abundance	WF_24_Abundance	WF_25_Abundance	WF_26_Abundance	WF_27_Abundance	WF_28_Abundance	WF_29_Abundance	WF_2_Abundance	WF_30_Abundance	WF_31_Abundance	WF_32_Abundance	WF_33_Abundance	WF_34_Abundance	WF_35_Abundance	WF_36_Abundance	WF_37_Abundance	WF_38_Abundance	WF_39_Abundance	WF_3_Abundance	WF_40_Abundance	WF_41_Abundance	WF_42_Abundance	WF_43_Abundance	WF_44_Abundance	WF_46_Abundance	WF_48_Abundance	WF_49_Abundance	WF_4_Abundance	WF_50_Abundance	WF_51_Abundance	WF_52_Abundance	WF_53_Abundance	WF_54_Abundance	WF_55_Abundance	WF_56_Abundance	WF_57_Abundance	WF_58_Abundance	WF_59_Abundance	WF_5_Abundance	WF_60_Abundance	WF_62_Abundance	WF_63_Abundance	WF_64_Abundance	WF_65_Abundance	WF_66_Abundance	WF_67_Abundance	WF_68_Abundance	WF_69_Abundance	WF_6_Abundance	WF_70_Abundance	WF_71_Abundance	WF_72_Abundance	WF_73_Abundance	WF_74_Abundance	WF_75_Abundance	WF_76_Abundance	WF_77_Abundance	WF_78_Abundance	WF_79_Abundance	WF_80_Abundance	WF_81_Abundance	WF_82_Abundance	WF_83_Abundance	WF_84_Abundance	WF_85_Abundance	WF_86_Abundance	WF_87_Abundance	WF_88_Abundance	WF_8_Abundance	WF_9_Abundance
P161-PWYa	38.1193	0	37.7788	0	15.1649	0	0	0	0	0	0	0	0	0	29.5226	0	0	0	0	0	30.0623	0	0	33.2271	0	0	0	0	0	0	0	0	0	0	0	0	8.07729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P161-PWYb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P161-PWYc	19.6488	0	19.4411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.1753	0	0	25.6805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P124-PWYa	0	234.03	0	211.99	0	225.751	108.859	84.4958	82.5296	62.1791	430.828	149.977	247.188	212.359	61.8527	129.687	266.796	122.329	17.5419	68.7257	0	93.648	158.312	0	134.016	57.8479	54.6373	152.219	580.18	99.7697	491.826	63.5941	420.337	51.8554	68.6712	414.952	43.2679	0	53.979	0	0	40.7547	0	304.34	0	25.3958	0	24.5698	0	21.7271	0	47.7486	172.4	108.59	53.9072	321.456	0	0	0	0	0	0	101.463	44.7657	330.568	0	0	0	0	0	0	0	60.6015	0	0	0	0	71.3306	0	0	0	0	68.0383	89.7981	60.1225	0
P124-PWYb	0	22.3945	0	18.9228	0	17.2162	8.99497	0	0	0	99.6782	0	0	0	0	0	18.7079	0	0	0	0	0	18.336	0	0	0	0	19.7475	51.96	0	68.7316	0	31.8073	0	0	19.5098	6.2483	0	12.5305	0	0	0	0	14.6181	0	6.09991	0	0	0	0	0	16.7551	0	0	0	0	0	0	0	0	0	0	0	21.0738	16.0659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P124-PWYc	0	0	0	0	0	0	18.2532	0	20.685	0	141.128	42.842	42.2881	30.2354	0	0	11.1958	0	0	0	0	0	0	0	0	0	0	0	57.17	0	49.8787	0	26.8461	0	9.29622	17.9573	0	0	0	0	0	0	0	43.361	0	0	0	0	0	0	0	0	46.1862	0	0	34.282	0	0	0	0	0	0	0	0	43.5712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.8844	0	0	0
P124-PWYd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.93344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P124-PWYe	0	0	0	0	0	0	0	0	0	0	46.3607	0	56.8637	0	0	0	0	0	0	0	0	0	0	0	24.5049	0	24.9212	0	24.9547	0	20.8975	0	29.0179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.1854	0	0	0	0	0	0	0	0	0	45.3487	0	0	0	0	47.8658	0	0	0	0	0	0	0	0
P461-PWYa	40.4574	27.1962	119.426	0	158.021	35.3124	66.3825	0	92.1659	0	0	74.4975	39.2813	53.6985	51.0909	105.545	84.7813	96.2172	86.8152	0	0	89.5571	108.277	46.6528	59.2185	0	71.8518	0	0	82.2488	16.8832	0	56.7268	75.6303	74.6337	102.689	217.091	67.2084	69.3266	86.3878	49.354	163.419	0	166.923	116.797	52.6786	98.9351	64.0451	59.1683	53.1355	45.8773	98.4786	52.8528	38.115	42.7271	193.256	79.8548	67.4574	0	104.177	0	0	88.2117	0	96.4755	46.1913	0	50.4407	183.287	101.192	0	0	175.152	52.8549	0	93.5852	297.157	185.947	0	99.1486	0	0	112.488	198.1	54.6263	0
P461-PWYb	22.2745	0	71.3734	0	72.9903	12.6009	28.6801	0	43.0172	0	0	0	33.8103	0	24.3539	0	41.9869	68.0854	46.7126	0	0	35.1458	53.413	13.1691	31.3953	0	37.945	0	0	46.4766	0	0	18.562	47.8448	37.1929	52.136	101.035	33.1678	36.744	53.6832	29.4584	75.1916	0	50.0446	80.6323	26.0537	69.9042	41.7586	30.2819	30.0256	23.1307	54.1913	0	0	0	125.229	0	46.5146	0	56.2129	0	0	0	0	44.7692	0	0	23.8803	95.2449	58.5812	0	0	67.3535	0	0	34.2464	192.077	107.688	0	0	0	0	66.4583	117.022	0	0
