L1	L2	L3	L4	L5	L6	L7	variable	value
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus Acidaminococcus sp. BV3L6	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinobaculum	Actinobaculum Actinobaculum sp. oral taxon 183	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces dentalis	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces graevenitzii	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces massiliensis	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces naeslundii	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Atopobium	Atopobium Atopobium sp. ICM58	WF_33	0.00112485939257593
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces sp. ICM39	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces sp. oral taxon 181	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces sp. HPA0247	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces sp. S6-Spd3	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces sp. oral taxon 448	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces sp. ICM47	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces sp. ICM54	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces Actinomyces turicensis	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Adlercreutzia	Adlercreutzia Adlercreutzia equolifaciens	WF_33	0
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	Akkermansia Akkermansia muciniphila	WF_33	0.00224971878515186
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes Alistipes finegoldii	WF_33	0.00112485939257593
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes Alistipes indistinctus	WF_33	0.00224971878515186
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes Alistipes putredinis	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes Alistipes senegalensis	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes Alistipes shahii	WF_33	0.00112485939257593
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes Alistipes timonensis	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes Candidatus Alistipes marseilloanorexicus	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes Alistipes sp. 627	WF_33	0
Bacteria	Actinobacteria	Actinobacteridae	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Alloscardovia Alloscardovia omnicolens	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	Anaerococcus Anaerococcus obesiensis	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	Anaerofustis Anaerofustis stercorihominis	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes Anaerostipes caccae	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales			 butyrate-producing bacterium SSC/2	WF_33	0.0427446569178853
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaerovibrio	Anaerovibrio Anaerovibrio sp. RM50	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Atopobium	Atopobium Atopobium parvulum	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Atopobium	Atopobium Atopobium rimae	WF_33	0
Bacteria	Actinobacteria	Coriobacteridae	Coriobacterineae	Coriobacteriaceae	Atopobium	Atopobium Atopobium sp. ICM42b	WF_33	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus Bacillus sp. MSP13	WF_33	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus Bacillus subtilis subsp. inaquosorum	WF_33	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus Bacillus subtilis subsp. spizizenii	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales			 Bacteroidales bacterium ph8	WF_33	0.00112485939257593
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides acidifaciens	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides caccae	WF_33	0.00449943757030371
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides sp. 14(A)	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides clarus	WF_33	0.00112485939257593
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides coprocola	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides coprophilus	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides eggerthii	WF_33	0.00449943757030371
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides faecichinchillae	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides faecis	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides finegoldii	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides fragilis	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides intestinalis	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides massiliensis	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides fragilis.1	WF_33	0
Bacteria	Firmicutes	Clostridia	Clostridiales			 [Bacteroides] pectinophilus	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides plebeius	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides rodentium	WF_33	0.00224971878515186
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides salyersiae	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides massiliensis.1	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides stercoris	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides thetaiotaomicron	WF_33	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides uniformis	WF_33	0.00112485939257593
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides Bacteroides vulgatus	WF_33	0.00674915635545557
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides 30	WF_33	0.00112485939257593
