gene_id	WF_38	WF_30	WF_60	WF_4	WF_6	WF_28	WF_23	WF_15	WF_11	WF_36	WF_13	WF_40	WF_34
1410644.3.peg.1	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.10	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1000	1	1	1	1	1	1	1	0	0	1	0	1	0
1410644.3.peg.1001	1	1	1	1	1	1	1	0	0	1	0	1	0
1410644.3.peg.1003	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1004	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1009	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1015	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.102	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1023	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1025	1	0	0	1	1	0	1	0	0	1	1	1	1
1410644.3.peg.103	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.104	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1041	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1043	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1044	1	1	1	1	1	1	1	0	0	1	0	1	1
1410644.3.peg.1049	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.105	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1053	0	0	0	0	0	0	0	0	0	0	0	0	1
1410644.3.peg.106	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.107	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1073	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1077	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.108	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1083	1	1	1	1	1	1	1	1	1	1	1	1	1
