gene_id	WF_12	WF_77	WF_38	WF_73	WF_81	WF_30	WF_51	WF_62	WF_16	WF_3	WF_4	WF_82	WF_69	WF_6	WF_2	WF_87	WF_43	WF_88	WF_66	WF_55	WF_79	WF_57	WF_36	WF_18	WF_14	WF_40	WF_72	WF_34	WF_68	WF_53	WF_10
1121115.4.peg.1000	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1
1121115.4.peg.1001	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
1121115.4.peg.1002	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0
1121115.4.peg.1003	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0
1121115.4.peg.1004	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0
1121115.4.peg.1005	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1
1121115.4.peg.1006	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1
1121115.4.peg.1009	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0
1121115.4.peg.101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1010	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
1121115.4.peg.1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1012	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
1121115.4.peg.1013	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
1121115.4.peg.1014	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1
1121115.4.peg.1015	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1019	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0
1121115.4.peg.1020	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0
1121115.4.peg.1021	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0
1121115.4.peg.1022	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0
1121115.4.peg.1023	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0
1121115.4.peg.1024	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0
1121115.4.peg.1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1037	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0
1121115.4.peg.1040	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
