Sample	WF_10	WF_11	WF_12	WF_13	WF_14	WF_15	WF_16	WF_17	WF_18	WF_19	WF_2	WF_20	WF_201	WF_202	WF_203	WF_204	WF_22	WF_23	WF_24	WF_25	WF_26	WF_27	WF_28	WF_29	WF_3	WF_30	WF_31	WF_32	WF_33	WF_34	WF_35	WF_36	WF_37	WF_38	WF_39	WF_4	WF_40	WF_41	WF_42	WF_43	WF_44	WF_46	WF_48	WF_49	WF_5	WF_50	WF_51	WF_52	WF_53	WF_54	WF_55	WF_56	WF_57	WF_58	WF_59	WF_6	WF_60	WF_62	WF_63	WF_64	WF_65	WF_66	WF_67	WF_68	WF_69	WF_70	WF_71	WF_72	WF_73	WF_74	WF_75	WF_76	WF_77	WF_78	WF_79	WF_8	WF_80	WF_81	WF_82	WF_83	WF_84	WF_85	WF_86	WF_87	WF_88	WF_9
Diet	high	high	high	high	high	high	low	low	low	low	low	low	low	high	low	low	high	high	high	low	low	low	high	high	high	high	high	high	high	low	low	low	low	high	low	high	high	low	high	high	high	high	high	low	high	high	low	low	low	low	high	low	high	low	high	high	high	low	high	high	high	low	low	high	high	low	low	low	high	high	low	low	high	high	low	low	low	high	high	low	low	high	high	low	low	low
12DICHLORETHDEG-PWY	13.10270524	6.114151968	10.78623447	3.702704907	7.888267633	6.011704142	5.867772657	1.885622056	14.74780883	10.13873333	35.57616224	5.31495649	0.865166323	1.226445689	2.49169377	3.464348707	1.076358261	68.86471685	1.083294343	60.43170162	2.787784446	3.307939565	42.67325126	4.151795679	0.737230047	15.58399134	5.197001386	20.52841854	5.129827583	1.452845081	1.566614867	5.804176948	12.54615019	2.543081336	1.8391628	4.348755682	11.39685002	47.58604429	2.039832373	32.25224467	1.814208601	86.26792215	35.7133529	5.858647678	7.325843047	54.45221183	57.7075519	0.983223982	47.25445683	0.810261729	92.89071562	1.12299541	31.39367193	4.966164173	11.11935825	10.25927961	2.372910413	8.803277789	4.369600064	7.725035082	3.328672705	1.723911167	0.210445326	13.92898255	4.825641418	2.079374397	2.738199886	1.546114944	5.357933009	5.473028821	4.545903318	3.380006446	1.268697081	17.8536939	11.07989366	3.572813581	7.58323355	2.124963156	2.815297685	11.49114329	9.004205994	31.51103756	39.07955711	4.031826256	7.341824962	15.31594927
14DICHLORBENZDEG-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.349583882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY	300.1041383	115.6784275	256.1013416	94.34792382	229.8928189	144.357409	268.5508858	107.3212258	256.6557376	102.5688304	434.5912749	90.82106552	107.9137182	59.46520937	76.5682945	58.57939309	72.14369763	275.8796973	98.74429851	280.0519041	90.83315436	73.87270774	253.2259373	91.15233138	101.8239392	230.0519653	71.96565174	217.5008541	89.95751117	353.1580244	74.84077261	316.2950257	93.1991892	300.5637331	92.13362682	213.0225699	277.6325532	269.6546089	95.63879021	253.7074717	80.70004424	280.796515	225.9660525	62.79535866	99.06910952	276.3752799	293.8518006	99.75597599	252.4145483	67.3955776	292.2763706	88.33261663	228.4077499	53.1674639	52.23105604	247.3484373	81.2691646	56.49346348	67.32542306	52.67686494	58.14836867	63.00881051	39.90174554	101.6141019	81.66715336	79.05229841	79.41044382	71.3243682	63.26719577	49.24129945	84.53713745	58.48533973	74.41679714	70.63834411	66.52819634	85.34410439	47.35842777	52.64714461	53.05248404	53.39132375	38.62344568	73.93122665	97.64597931	70.33890707	52.67437633	57.90962746
2AMINOBENZDEG-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ASDEG-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184409788	0	0	0	0	0	0	0	0	0	0	0.058129014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025062942	0	0
2OXOBUTYRATECAT-PWY	44.72844245	11.15772968	20.52843835	5.563659794	51.98602096	6.67665901	11.51078537	3.729149346	7.700374797	14.39788537	48.94508	23.6352978	1.7768041	7.38879228	2.390928764	1.850744167	5.448478262	3.925169457	10.29366131	43.69699661	22.54736554	18.03419095	23.57105526	24.50966955	4.307655048	42.05175817	18.99268145	41.26583961	11.59661352	8.71812203	8.518729058	4.984223278	6.202378823	3.438146306	9.2233443	6.409388286	1.193378204	20.85223262	7.84503835	39.79039256	9.488585848	23.80510251	24.69411786	3.523815448	6.62852555	40.72638334	70.54812286	3.73426463	38.68528388	1.503271515	48.24382099	2.645108506	31.7670005	2.547740827	0.435968154	4.253113571	3.941349621	1.498493246	19.55154219	8.801148627	23.05209073	3.87875267	4.153853791	22.22798114	4.252345931	17.48953541	23.66887787	10.90838729	13.31998079	8.554878118	11.71067623	16.31788765	19.03602209	6.149675845	7.728355703	28.04262929	6.404437222	5.56316462	2.592661338	9.639953632	8.186147847	5.734336012	8.991102534	4.779923467	0.493067803	3.538283494
2PHENDEG-PWY	0.02845667	0	0.031524592	0.014744477	1.100836636	0	0.076597003	0.131128821	0	0.046815471	0.440334654	0	0	0	0	0	0	0.026879079	0	0	0.048529831	0.070534532	0.030217183	0	0.029683661	0.014334198	0	0.282804868	0	0.0488865	0	0	0.064085975	0.027376304	0	0.038187212	0.440334654	0	0	0.081292519	0	0	0.094219564	0.02104996	1.100836636	0	0.102963853	0.040646526	0	0	0.44465777	0	0.05977662	0	0	0.022393703	0.048047715	0.015174456	0	0.023887815	0	0	0	0	0	0.029108604	0.027576067	0	0	0	0.668002672	0.439753738	0	0.095545164	2.033014805	0	0.050149793	0	0	0.028076919	0.394646906	0	0.666666667	0	0	0.013793592
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	9.991040344	2.607653504	11.12982564	2.401468634	10.20292386	2.393834099	9.9201856	4.140925527	5.713623449	3.838261528	19.52566221	4.419733726	1.536662409	1.247687895	2.174977159	1.478057102	2.940128594	10.00718249	3.274852848	8.064197585	3.61613812	2.607103253	39.86601007	2.566581093	2.934025867	14.53510767	4.807367487	23.50676022	2.532450155	2.915271512	2.697439892	5.088848333	5.565083899	10.81966588	6.396836673	3.347123576	8.348993442	9.523402892	3.11525689	5.333286202	2.70893626	10.13390858	7.87237016	2.840729643	3.137459478	9.167161406	7.462880116	1.867103171	5.282805285	3.155740573	7.950462328	1.300674862	5.920141418	2.468937928	1.289329395	2.775642992	1.317816305	7.759783353	1.156810038	1.563794781	1.510316514	5.236167936	3.256775671	12.46948838	5.155994702	3.370820126	2.143166254	2.022530732	5.9675008	2.845216251	4.606109772	4.711724303	5.46462434	11.62335119	4.769570303	3.212277449	5.771040862	1.621427535	1.069837392	2.240359707	1.680598022	3.207657198	3.868821413	1.558426899	2.488816687	1.099560462
4-HYDROXYMANDELATE-DEGRADATION-PWY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403830741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416097152	0	0	0	0	0	0	0	0	0	0	0
