ID	WF_11	WF_1	WF_12	WF_13	WF_14	WF_15	WF_16	WF_17	WF_18	WF_19	WF_20	WF_21	WF_2	WF_22	WF_23	WF_24	WF_25	WF_26	WF_27	WF_28	WF_29	WF_30	WF_31	WF_3	WF_32	WF_33	WF_34	WF_35	WF_36	WF_37	WF_38	WF_39	WF_40	WF_41	WF_4	WF_42	WF_43	WF_44	WF_45	WF_46	WF_47	WF_48	WF_49	WF_50	WF_51	WF_5	WF_52	WF_53	WF_54	WF_55	WF_56	WF_57	WF_58	WF_59	WF_60	WF_61	WF_6	WF_62	WF_63	WF_64	WF_65	WF_66	WF_67	WF_68	WF_69	WF_70	WF_71	WF_7	WF_72	WF_73	WF_74	WF_75	WF_76	WF_77	WF_78	WF_79	WF_80	WF_81	WF_8	WF_82	WF_83	WF_84	WF_85	WF_86	WF_87	WF_88	WF_89	WF_90	WF_91	WF_9	WF_92	WF_93	WF_94	WF_95	WF_96	WF_97
k__Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04409	0.0	0.0	0.03534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43973	0.0	0.0	0.62793	0.0	0.8337	0.0	0.99733	0.0	0.0	0.0	0.0	0.0	0.0	0.64791	0.54071	1.68864	0.0	0.0	0.0	0.0	2.72063	1.49716	0.0	1.53646	1.2937	0.1313	0.0	0.0	0.0	0.0	0.62707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04409	0.0	0.0	0.03534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43973	0.0	0.0	0.62793	0.0	0.8337	0.0	0.99733	0.0	0.0	0.0	0.0	0.0	0.0	0.64791	0.54071	1.68864	0.0	0.0	0.0	0.0	2.72063	1.49716	0.0	1.53646	1.2937	0.1313	0.0	0.0	0.0	0.0	0.62707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43973	0.0	0.0	0.62793	0.0	0.8337	0.0	0.99733	0.0	0.0	0.0	0.0	0.0	0.0	0.64791	0.54071	1.68864	0.0	0.0	0.0	0.0	2.72063	1.49716	0.0	1.53646	1.2937	0.1313	0.0	0.0	0.0	0.0	0.62707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43973	0.0	0.0	0.62793	0.0	0.8337	0.0	0.99733	0.0	0.0	0.0	0.0	0.0	0.0	0.64791	0.54071	1.68864	0.0	0.0	0.0	0.0	2.72063	1.49716	0.0	1.53646	1.2937	0.1313	0.0	0.0	0.0	0.0	0.62707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43973	0.0	0.0	0.62793	0.0	0.8337	0.0	0.99733	0.0	0.0	0.0	0.0	0.0	0.0	0.64791	0.54071	1.68864	0.0	0.0	0.0	0.0	2.72063	1.49716	0.0	1.53646	1.2937	0.1313	0.0	0.0	0.0	0.0	0.62707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43973	0.0	0.0	0.62793	0.0	0.8337	0.0	0.99733	0.0	0.0	0.0	0.0	0.0	0.0	0.64791	0.54071	1.68864	0.0	0.0	0.0	0.0	2.72063	1.49716	0.0	1.53646	1.2937	0.1313	0.0	0.0	0.0	0.0	0.62707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1843	0.0	0.0	0.49686	0.0	0.76695	0.0	0.83541	0.0	0.0	0.0	0.0	0.0	0.0	0.2961	0.54071	1.03095	0.0	0.0	0.0	0.0	2.09529	1.39689	0.0	0.84269	1.2937	0.1313	0.0	0.0	0.0	0.0	0.35797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.70562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1843	0.0	0.0	0.49686	0.0	0.76695	0.0	0.83541	0.0	0.0	0.0	0.0	0.0	0.0	0.2961	0.54071	1.03095	0.0	0.0	0.0	0.0	2.09529	1.39689	0.0	0.84269	1.2937	0.1313	0.0	0.0	0.0	0.0	0.35797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25543	0.0	0.0	0.13107	0.0	0.06675	0.0	0.16192	0.0	0.0	0.0	0.0	0.0	0.0	0.35181	0.0	0.65769	0.0	0.0	0.0	0.0	0.62534	0.10027	0.0	0.69376	0.0	0.0	0.0	0.0	0.0	0.0	0.2691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04409	0.0	0.0	0.03534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
